,s,p,o,source,support
571,semantic web technologies,deal,volume dimension,heuristic,4
572,semantic description of learning service,encompass,learning intention,heuristic,1
573,learning intention,characterise,learning objects,heuristic,1
574,semantic description of learning service,encompass,learning objects,heuristic,2
575,automation,confront,semantic,heuristic,2
576,e health integration scenario,confront,semantic,heuristic,2
577,semantic,relate,data structure,heuristic,2
578,e health integration scenario,relate,data structure,heuristic,4
579,semantic service oriented integration of healthcare legacy system,orient,lightweight semantic,heuristic,2
580,top down workflow,nest,service discovery,heuristic,2
581,ai planning approach,nest,service discovery,heuristic,2
582,service discovery,relate,selection,heuristic,1
583,selection,relate,service discovery,heuristic,1
584,selection,relate,composition,heuristic,1
585,composition,relate,selection,heuristic,1
586,composition,relate,validation,heuristic,1
587,validation,relate,composition,heuristic,1
588,ontology language,relate,service discovery topology,heuristic,2
589,service discovery topology,relate,ontology language,heuristic,2
590,knowledge representation technique,compare,software testing,heuristic,3
591,knowledge representation technique,compare,ontologies,heuristic,3
592,performance test planning,relate,management,heuristic,1
593,management,relate,performance test planning,heuristic,1
594,contextual information,run,resource bounded device,heuristic,1
595,context aware development framework,centralize,clientserver architecture,heuristic,2
596,context modelling and reasoning,bound,development platform,heuristic,2
597,resource bounded context aware agent,power,development platform,heuristic,1
598,semantic web technologies,bound,development platform,heuristic,2
599,declarative rule based programming,relate,communication models,heuristic,1
600,communication models,relate,declarative rule based programming,heuristic,1
601,resource bounded context aware agent,power,declarative rule based programming,heuristic,1
602,context modelling and reasoning,bound,communication models,heuristic,2
603,context modelling and reasoning,bound,android powered smartphone,heuristic,1
604,resource bounded context aware agent,power,communication models,heuristic,1
605,resource bounded context aware agent,relate,android powered smartphone,heuristic,1
606,android powered smartphone,relate,resource bounded context aware agent,heuristic,1
607,semantic web technologies,bound,android powered smartphone,heuristic,1
608,empty rdf graph,append,non empty rdf graph,heuristic,1
609,empty rdf graph,append,concurrent load,heuristic,1
610,oracle database semantic technology,conduct,rdf graph,heuristic,1
611,agent framework,relate,ontologies,heuristic,1
612,ontologies,relate,agent framework,heuristic,1
613,description logics,relate,ontologies,heuristic,1
614,semantic web technologies,relate,ontologies,heuristic,61
615,incremental development method,call,knowledge scaffolding,heuristic,1
616,incremental development method,call,educational psychology technique,heuristic,2
617,knowledge scaffolding,prove,educational psychology technique,heuristic,1
618,reapp architecture,synthesize,model-driven engineering,heuristic,1
619,reapp architecture,synthesize,semantic web technologies,heuristic,2
620,ontologies,minimize,integrated development environment,heuristic,1
621,enterprise,vary,patch level,heuristic,2
622,enterprise,vary,computer operating systems,heuristic,2
623,enterprise,vary,computer hardware,heuristic,2
624,semantic web technologies,hold,log analysi,heuristic,2
625,economic development,relate,natural language processing systems,heuristic,3
626,conceptual search,mean,word based search system,heuristic,1
627,retrieval,relate,image analysi,heuristic,1
628,image analysi,relate,retrieval,heuristic,1
629,semantic web technologies,try,low level image feature,heuristic,3
630,image retrieval,try,low level image feature,heuristic,2
631,ontologies,try,low level image feature,heuristic,3
632,ontologies,try,ontology concept,heuristic,4
633,mammals domain,choose,ontologies,heuristic,1
634,mammals dataset,test,domain,heuristic,2
635,malwares,characterize,vaguenes,heuristic,1
636,malwares,characterize,imprecision,heuristic,1
637,vaguenes,relate,imprecision,heuristic,1
638,imprecision,relate,vaguenes,heuristic,1
639,computational intelligence method,relate,semantic web technologies,heuristic,1
640,semantic web technologies,relate,computational intelligence method,heuristic,1
641,fuzzy markup language,relate,fuzzy ontology,heuristic,1
642,fuzzy ontology,relate,fuzzy markup language,heuristic,1
643,technical and conceptual design study,envisage,demonstrator,heuristic,2
644,technical and conceptual design study,synthesise,technical and user requirement,heuristic,3
645,demonstrator,synthesise,technical and user requirement,heuristic,1
646,demonstrator,synthesise,evaluation framework,heuristic,1
647,time,relate,space,heuristic,1
648,space,relate,time,heuristic,1
649,template semantic mapping service,interoperate,platform,heuristic,3
650,platform,instantiate,maritime surveillance domain,heuristic,2
651,platform,instantiate,high level fusion task,heuristic,2
652,platform,instantiate,service,heuristic,3
653,semantic web technologies,organise,dataset,heuristic,6
654,semantic web technologies,organise,ontology supported knowledge base,heuristic,4
655,chebi,supply,biologically relevant compound,heuristic,1
656,syntax,infer,actionable situation,heuristic,1
657,event stream,infer,actionable situation,heuristic,1
658,ontologies,open,research and application area,heuristic,1
659,declarative rule,open,research and application area,heuristic,1
660,semantic web technologies,open,research and application area,heuristic,1
661,declarative rule,open,event processing,heuristic,1
662,semantic web technologies,open,event processing,heuristic,2
663,ontologies,relate,declarative rule,heuristic,1
664,declarative rule,relate,ontologies,heuristic,1
665,computer vision,depend,labelled image,heuristic,2
666,ontologies,relate,lexical resource,heuristic,1
667,lexical resource,relate,ontologies,heuristic,1
668,unstructured data,structure,annotated information,heuristic,1
669,semantic grid,relate,semantic web technologies,heuristic,2
670,general terms biomedical data,relate,future web,heuristic,1
671,future web,relate,general terms biomedical data,heuristic,1
672,keywords biomedical ontology,relate,grid computing,heuristic,1
673,grid computing,relate,keywords biomedical ontology,heuristic,1
674,semantic web technologies,relate,semantic grid,heuristic,1
675,semantic grid,relate,grid computing,heuristic,2
676,grid computing,relate,semantic grid,heuristic,1
677,controlled and coordinated resource sharing,relate,problem solving,heuristic,1
678,problem solving,relate,controlled and coordinated resource sharing,heuristic,1
679,group,call,virtual organizations,heuristic,2
680,rule,call,virtual organizations,heuristic,1
681,data storage,relate,hardware instrument,heuristic,1
682,hardware instrument,relate,data storage,heuristic,1
683,on demand software,relate,hardware instrument,heuristic,1
684,hardware instrument,relate,on demand software,heuristic,1
685,authentication,relate,authorization,heuristic,1
686,authorization,relate,authentication,heuristic,1
687,problem,become,utility computing,heuristic,2
688,problem,become,grid computing solution,heuristic,1
689,vocabulary,view,ontologies,heuristic,2
690,ontologies,relate,vocabulary,heuristic,5
691,ontologies,relate,protege,heuristic,2
692,grid computing,play,biomedical community,heuristic,1
693,ontologies,play,biomedical community,heuristic,1
694,grid computing,relate,ontologies,heuristic,1
695,ontologies,relate,grid computing,heuristic,1
696,ranking,relate,service matching,heuristic,1
697,service matching,relate,ranking,heuristic,1
698,service ranking,relate,qos matchmaking,heuristic,1
699,qos matchmaking,relate,service ranking,heuristic,1
700,pervasive environment,compose,heterogeneous and independent device,heuristic,1
701,semantic,emerge,online negotiation,heuristic,1
702,pervasive environment,emerge,online negotiation,heuristic,1
703,semantic,relate,pervasive environment,heuristic,1
704,pervasive environment,relate,semantic,heuristic,1
705,user preference,relate,news content,heuristic,1
706,news content,relate,user preference,heuristic,1
707,user preference,appear,domain-specific ontologies,heuristic,2
708,news content,appear,domain-specific ontologies,heuristic,2
709,user profiles,relate,item description,heuristic,1
710,item description,relate,user profiles,heuristic,1
711,semantic web technologies,relate,software agents,heuristic,5
712,semantic web technologies,share,structure of information,heuristic,1
713,scientific data service,grow,provenance information,heuristic,2
714,geographical format,relate,data model,heuristic,1
715,data model,relate,geographical format,heuristic,1
716,custom mapping algorithm,scale,translation,heuristic,2
717,semantically rich information,associate,intelligent grid service,heuristic,6
718,semantic grid,associate,intelligent grid service,heuristic,16
719,semantic grid,expose,semantically rich information,heuristic,6
720,semantically rich information,associate,grid resources,heuristic,3
721,semantic grid,associate,grid resources,heuristic,12
722,performance evaluation,compare,state of the art reasoner,heuristic,4
723,business process management (bpm),relate,service-oriented architecture (soa),heuristic,1
724,service-oriented architecture (soa),relate,business process management (bpm),heuristic,1
725,domain-specific ontologies,specialise,business differentiation,heuristic,2
726,domain-specific ontologies,specialise,model variation,heuristic,2
727,domain-specific ontologies,specialise,business domain,heuristic,1
728,domain-specific ontologies,specialise,service model,heuristic,1
729,semantic modeling,relate,intelligent and automated integration,heuristic,1
